article_id,title,doi,year,authors,journal,keywords,study_country,study_continent,study_subregion,is_multi_country,is_multi_continent,researcher_country,researcher_continent,researcher_subregion,latitude,longitude,research_flow,topic_id,megatopic_id,income_group,hdi,gender_inequality_index,population_total,gdp_per_capita,gini_index,women_parliament,female_labor_force,female_homicide_rate,maternal_mortality,gini_index_source,gini_index_obs_year,women_parliament_source,women_parliament_obs_year,female_labor_force_source,female_labor_force_obs_year,female_homicide_rate_source,female_homicide_rate_obs_year
513,For Whom Is Sexual Abuse Related to Compulsive Sexual Behaviors? Timing of Abuse and Sociodemographic Characteristics as Potential Moderators Across 42 Countries,10.1007/s10508-025-03162-x,2025,Marie-Pier Vaillancourt-Morel,Archives of Sexual Behavior,Sexual abuse; Compulsive sexual behavior; Childhood sexual abuse; Adolescent or adult sexual abuse; Compulsive sexual behavior disorder,DEU; BGD; BRA; CHL; COL; HRV; SVK; ESP; IRQ; IRL; ISR; JPN; MEX; MKD; NZL; CZE; CHE; TWN,Europe / Asia / Americas / Oceania,Western Europe / Southern Asia / South America / Eastern Europe / Southern Europe / Western Asia / Eastern Asia / Central America / Australia and New Zealand,1,1,USA,Americas,North America,40.7289708,-73.9944716,Multi-national,12,3,High income; Lower middle income; Upper middle income; High income; Upper middle income; High income; High income; High income; Upper middle income; High income; High income; High income; Upper middle income; Upper middle income; High income; High income; High income; High income,0.942; 0.661; 0.754; 0.855; 0.752; 0.858; 0.848; 0.905; 0.686; 0.945; 0.919; 0.925; 0.758; 0.77; 0.937; 0.889; 0.962; 0.926,0.073; 0.53; 0.39; 0.187; 0.424; 0.114; 0.174; 0.065; 0.455; 0.074; 0.083; 0.083; 0.309; 0.134; 0.088; 0.136; 0.018; 0.045,83516593.0; 173562364.0; 211998573.0; NA; NA; 3866200.0; 5422069.0; NA; 46042015.0; NA; NA; 123975371.0; NA; 1824359.0; NA; 10905028.0; 9005582.0; NA,56103.7323182554; 2593.41611680774; 10310.5488778166; NA; 7919.20886825345; 24050.4397933135; 25992.6748502048; 35326.7683069278; 6073.61032342708; NA; NA; 32487.0778047567; NA; 9291.85661671864; NA; 31823.3078290564; 103998.186685604; NA,32.4; 30.9; 51.6; 43.4; 53.9; 30.1; 23.8; 33.4; 29.8; 28.0; 34.2; 32.3; 40.2; 33.5; 31.2; 25.7; 33.8; 29.0,35.3260869565217; 20.8571428571429; 17.5438596491228; 35.06; 29.4117647058824; 33.112582781457; 22.6666666666667; 44.29; 28.8753799392097; 25.29; 24.17; 15.6989247311828; 50.2; 39.1666666666667; 45.53; 26.0; 38.5; NA,55.288; 38.649; 53.411; 52.887; 51.624; 47.377; 55.127; 52.825; 10.937; 59.755; 62.278; 55.905; 47.45; 42.742; 66.077; 53.456; 62.223; 51.958,0.873783013300765; NA; 3.91876469793225; NA; 3.44117226400817; 0.446135020781217; 0.743668196498385; 0.455157624775927; 3.06036162845083; NA; NA; 0.226162720213581; NA; 0.956513190582596; NA; 0.821240790811082; 0.6218; NA,4.0; 115.0; 67.0; NA; 59.0; 3.0; 4.0; 3.0; 66.0; NA; NA; 3.0; NA; 3.0; NA; 3.0; NA; NA,NA; NA; NA; SWIID; NA; NA; NA; NA; NA; SWIID; SWIID; NA; SWIID; NA; SWIID; NA; NA; SWIID,NA; NA; NA; 2024; NA; NA; NA; NA; NA; 2023; 2022; NA; 2024; NA; 2022; NA; NA; 2024,WDI; WDI; WDI; IPU; WDI; WDI; WDI; IPU; WDI; IPU; IPU; WDI; IPU; WDI; IPU; WDI; WDI; NA,2024; 2023; 2024; 2025; 2024; 2024; 2024; 2025; 2024; 2025; 2025; 2024; 2025; 2024; 2025; 2024; 2024; NA,WDI; WDI; WDI; ILOSTAT; WDI; WDI; WDI; WDI; WDI; ILOSTAT; ILOSTAT; WDI; ILOSTAT; WDI; ILOSTAT; WDI; ILOSTAT; ILOSTAT,2025; 2025; 2025; 2025; 2025; 2025; 2025; 2025; 2025; 2025; 2025; 2025; 2025; 2025; 2025; 2025; 2025; 2025,WDI; NA; WDI; NA; WDI; WDI; WDI; WDI; WDI; NA; NA; WDI; NA; WDI; NA; WDI; OWID; NA,2023; NA; 2023; NA; 2023; 2023; 2023; 2023; 2013; NA; NA; 2023; NA; 2023; NA; 2023; 2023; NA
514,Gender-based violence and associated factors in communities in Uganda: data from the social innovation in health initiative,10.1136/bmjinnov-2024-001285,2025,"Awor, Phyllis and Ahumuza, Emmanuel and Namuggala, Victoria Flavia and Nalwadda, Christine",BMJ INNOVATIONS,Domestic violence;Sexual violence;Poisson regression;Demography;Medicine;Occupational safety and health;Reproductive health;Poison control;Injury prevention;Population,UGA,Africa,Eastern Africa,0,0,UGA,Africa,Eastern Africa,0.335151,32.5682342,Domestic,10,3,Low income,0.525,0.523,48656606,1077.91278452817,43.9,34.05,75.595,3.029393378,170,SWIID,2019,IPU,2025,ILOSTAT,2025,OWID,2023
515,"Factors Associated with Usage of Oral-PrEP among Female Sex Workers in Nairobi, Kenya, Assessed by Self-Report and a Point-of-Care Urine Tenofovir Immunoassay.",10.1007/s10461-024-04455-3,2024,"Pooja Shah1 · Matthew Spinelli2 · Erastus Irungu3  · Rhoda Kabuti3 · Pauline Ngurukiri3 · Hellen Babu3 · Mary Kungu3 · The Maisha Fiti Study Champions1 · Chrispo Nyabuto3 · Anne Mahero3 · Karen Devries1 · Nambusi Kyegombe1,4 · Graham F. Medley1 · Mitzy Gafos1 · Janet Seeley1,7 · Helen A. Weiss5 · Rupert Kaul6 · Monica Gandhi2 · Tara S. Beattie1 · Joshua Kimani3",AIDS and Behavior,Health psychology;Urine;Public health;Medicine;Environmental health;Tenofovir;Immunoassay;Human immunodeficiency virus (HIV),KEN,Africa,Eastern Africa,0,0,USA,Americas,North America,NA,NA,Cross-continental,3,3,Lower middle income,0.575,0.506,55339007,2132.43452097647,41.7,23.28,63.012,2.620213261,149,SWIID,2022,IPU,2024,ILOSTAT,2024,OWID,2022
516,"Gender Differences in Intimate Partner Violence Victimization and Its Relationships With Anxiety, Depression Symptoms and Suicide Behaviours in China.",10.3389/ijph.2025.1607953,2025,Lu L and Ye L and Zhang T and Li R and Chen C and Cao Z and Ma BC and Dang ZC and Yu B and Andreassen OA and Shen Q and Zhou Z and Lai S and Liu S,International journal of public health,"Humans;Male;Female;China/epidemiology;Cross-Sectional Studies;Adult;*Crime Victims/psychology/statistics & numerical data;*Intimate Partner Violence/psychology/statistics & numerical data;*Depression/epidemiology;*Anxiety/epidemiology;*Suicidal Ideation;Sex Factors;Middle Aged;Young Adult;Prevalence;*Suicide, Attempted/statistics & numerical data/psychology;Adolescent",CHN,Asia,Eastern Asia,0,0,CHE,Europe,Western Europe,46.7985624,8.2319736,Cross-continental,31,5,Upper middle income,0.768,0.192,1422584930,13303.1481543868,40.8,26.54,59.148,NA,16,SWIID,2023,IPU,2025,ILOSTAT,2025,NA,NA
517,Female genital mutilation and safer sex negotiation among women in sexual unions in sub-Saharan Africa: Analysis of demographic and health survey data,10.1371/journal.pone.0299034,2024,"Richard Gyan Aboagye, Bright Opoku Ahinkorah, Abdul-Aziz Seidu, James Boadu Frimpong, Collins Adu, John Elvis Hagan Jr., Salma A. E. Ahmed, Sanni Yaya",PLOS ONE,Demography;Sex organ;Odds ratio;Medicine;Logistic regression;Reproductive health;Confidence interval;Condom;Gynecology,BFA; ETH; GMB; KEN; LBR; MLI; NGA; SLE; TGO,Africa,Western Africa / Eastern Africa,1,0,AUS,Oceania,Australia and New Zealand,NA,NA,Multi-national,27,6,Low income; Low income; Low income; Lower middle income; Low income; Low income; Lower middle income; Low income; Low income,0.449; 0.498; 0.5; 0.575; 0.481; 0.428; 0.535; 0.477; 0.539,0.594; 0.491; 0.611; 0.506; 0.648; 0.613; 0.68; 0.644; 0.551,23548781.0; 132059767.0; 2759988.0; NA; NA; NA; NA; NA; 9515236.0,981.992649769081; 1133.88279681719; 871.340291776294; NA; NA; NA; NA; NA; 1119.38160509429,37.4; 31.1; 38.8; 41.7; 36.7; 36.5; 38.4; 39.1; 37.9,18.3098591549296; 41.3135593220339; 8.62068965517241; 23.28; 10.96; 28.57; 3.91; 29.53; 18.5840707964602,64.113; 58.391; 45.428; 63.012; 72.021; 53.093; 80.714; 51.815; 56.604,NA,242.0; 195.0; 354.0; NA; NA; NA; NA; NA; 349.0,NA; NA; NA; SWIID; SWIID; SWIID; SWIID; SWIID; NA,NA; NA; NA; 2022; 2016; 2024; 2022; 2018; NA,WDI; WDI; WDI; IPU; IPU; IPU; IPU; IPU; WDI,2024; 2024; 2023; 2024; 2024; 2024; 2024; 2024; 2024,WDI; WDI; WDI; ILOSTAT; ILOSTAT; ILOSTAT; ILOSTAT; ILOSTAT; WDI,2024; 2024; 2024; 2024; 2024; 2024; 2024; 2024; 2024,NA,NA
518,Gender policy and intimate partner violence in Colombia,10.1371/journal.pone.0290313,2023,Dick Durevall,PLOS ONE,Domestic violence;Government (linguistics);Quarter (Canadian coin);Political science;Poison control;Criminology;Suicide prevention,COL,Americas,South America,0,0,SWE,Europe,Northern Europe,57.6985465,11.9712422,Cross-continental,31,5,Upper middle income,0.752,0.424,52321152,7000.836605,53.9,28.87700535,51.833,3.441172264,59,NA,NA,WDI,2023,WDI,2023,WDI,2023
519,Factors Associated With Domestic Violence Against Women at Different Stages of Life: Findings From a 19-Year Longitudinal Dataset From the MINIMat Trial in Rural Bangladesh (2001–2020),10.1177/08862605231188062,2023,"Ziaei, Shirin and Antu, Jannatul Ferdous and Mamun, Mahfuz Al and Parvin, Kausar and Naved, Ruchira Tabassum",J Interpers Violence 2023.38:11768-11789,Domestic violence;Demography;Pregnancy;Empowerment;Psychological intervention;Medicine;Sexual violence;Longitudinal study;Rural area;Odds;Poison control;Cohort,BGD,Asia,Southern Asia,0,0,SWE,Europe,Northern Europe,59.3251172,18.0710935,Cross-continental,4,1,Lower middle income,0.661,0.53,171466990,2551.017738,30.9,20.85714286,41.874,NA,115,NA,NA,WDI,2023,WDI,2023,NA,NA
520,Domestic violence and its determinants among reproductive-age women in Sub-saharan Africa: a multilevel analysis of 2019-2024 demographic and health survey data,10.1186/s12889-025-23544-z,2025,"Nakie, Girum and Tadesse, Gebresilassie and Fentahun, Setegn and Rtbey, Gidey and Andualem, Fantahun and Kibralew, Getasew and Kelebie, Mulualem and Melkam, Mamaru and Tinsae, Techilo and Kassa, Mulat Awoke and Alemayehu, Tekletsadik Tekleslassie and Yigezu, Muluken and Tsegaw, Tigist Kifle and Segon, Tesfaye and Wassie, Yilkal Abebaw",BMC PUBLIC HEALTH,Biostatistics;Medicine;Public health;Epidemiology;Environmental health;Demography;Multilevel model;Reproductive health;Occupational safety and health;Poison control,AFG,Asia,Southern Asia,0,0,ETH,Africa,Eastern Africa,12.5891181,37.4421593,Cross-continental,21,6,Low income,0.478,0.678,42647492,413.7578947,31.9,27.01612903,5.086,1.270249675,521,SWIID,2017,WDI,2021,WDI,2025,WDI,2019
521,Domestic abuse in later life: A secondary analysis of the Crime Survey for England and Wales,10.1177/14773708251335388,2025,"Bows, Hannah and Pullerits, Merili and Brennan, Iain",European Journal of Criminology 0.0:14773708251335388,Criminology;New england;Violent crime;Health Survey for England;Psychology,GBR,Europe,Western Europe,0,0,GBR,Europe,Western Europe,54.9027916,-1.392096,Domestic,12,3,High income,0.929,0.098,69226000,53246.36761,32.4,40.46153846,57.333,0.6953611064,8,NA,NA,WDI,2024,WDI,2025,WDI,2021
522,Examining Changes in Fatal Violence Against Women After Bail Reform in New Jersey,10.1016/j.amepre.2025.01.007,2025,"Taylor Riley PhD, MPH","American Journal of Preventive Medicine, 68 (2025) 784-793",Humans;Female;New Jersey/epidemiology;*Homicide/statistics & numerical data/trends;Adult;*Intimate Partner Violence/statistics & numerical data;Middle Aged;Pregnancy;Young Adult;Adolescent,USA,Americas,North America,0,0,USA,Americas,North America,40.0757384,-74.4041622,Domestic,20,7,High income,0.921,0.179,343477330,84534.0407841548,39.4,28.74,56.343,2.538158777,17,SWIID,2024,IPU,2025,ILOSTAT,2025,OWID,2023
523,Does women empowerment associate with reduced risks of intimate partner violence in India? evidence from National Family Health Survey-5,10.1371/journal.pone.0293448,2023,"Rakhi Ghoshal, Priti Patil, Anita Gadgil, Priyansh Nathani, Prashant Bhandarkar, Dnyaneshwar B. Kale, Nobhojit Roy",PLOS ONE,Domestic violence;Empowerment;Sexual violence;Poison control;Reproductive health;Women's empowerment;Suicide prevention;Psychology;Medicine;Socioeconomics,IND,Asia,Southern Asia,0,0,IND,Asia,Southern Asia,12.9736184,77.6123521,Domestic,1,1,Lower middle income,0.633,0.49,1438069597,2530.12031278204,46.8,15.13,30.984,2.277898654,80,SWIID,2022,IPU,2023,ILOSTAT,2023,OWID,2022
524,Effects of social confinement during the first wave of COVID-19 in Mexico City,10.3389/fpubh.2023.1202202,2023,Stephany Segura-García,Frontiers in Public Health,social confinement; COVID pandemic; mental health; domestic violence; sleep disturbances; feeding habits; social support; anxiety,MEX,Americas,Central America,0,0,MEX,Americas,Central America,19.321597,-99.1849259,Domestic,5,5,Upper middle income,0.758,0.309,129739761,13860.9597809326,40.3,50,47.317,5.763845981,42,SWIID,2023,IPU,2023,ILOSTAT,2023,OWID,2023
525,Emotional violence within intimate partner violence against Turkish women in rural and urban areas,10.1186/s12889-025-22009-7,2025,"Ömer Alkan1,2* and Ayşenur Demïr1",BMC Public Health,Medicine;Turkish;Biostatistics;Public health;Domestic violence;Poison control;Suicide prevention;Occupational safety and health;Injury prevention;Human factors and ergonomics;Epidemiology;Environmental health,TUR,Asia,Western Asia,0,0,TUR,Asia,Western Asia,41.0505099,29.0096766,Domestic,31,5,Upper middle income,0.838,0.272,87270502,15892.7157287241,40.4,19.9,37.145,1.679834499,15,SWIID,2025,IPU,2025,ILOSTAT,2025,OWID,2023
526,"Evolution of intimate partner violence impacts from cash transfers, food transfers, and behaviour change communication: Mixed-method experimental evidence from a nine-year post-programme follow-up in Bangladesh",10.1016/j.socscimed.2025.117901,2025,Michelle Lokot,"Social Science & Medicine, 371 (2025) 117901","Intimate partner violence,Gender-based violence,Cash transfers,Social protection,Bangladesh,Mixed methods,Randomised control trial",BGD,Asia,Southern Asia,0,0,GBR,Europe,Western Europe,51.4893335,-0.1440551,Cross-continental,18,3,Lower middle income,0.661,0.53,173562364,2593.416117,30.9,20.85714286,38.649,NA,115,NA,NA,WDI,2023,WDI,2025,NA,NA
527,Exploring perceptions and experiences of gender-based violence among women in a refugee camp setting in Uganda—A qualitative study,10.1371/journal.pone.0314972,2024,"Miriam Lukasiak, Jack Palmieri, Pia Svensson, Gilbert Tumwine, Anette Agardh",PLOS ONE,Refugee;Context (archaeology);Qualitative research;Vulnerability (computing);Psychological intervention;Medicine;Forced migration;Internally displaced person;Public health;Poison control;Environmental health,UGA,Africa,Eastern Africa,0,0,USA,Americas,North America,45.5759665,-122.7293768,Cross-continental,26,1,Low income,0.525,0.523,48656606,1077.91278452817,43.9,33.93,75.556,3.029393378,170,SWIID,2019,IPU,2024,ILOSTAT,2024,OWID,2023
528,"Emergency departments as under-utilized venues to provide HIV prevention services to female sex workers in Nairobi, Kenya",10.1186/s12245-023-00516-x,2023,Amanda Poxon,International Journal of Emergency Medicine,Female sex workers;Emergency medicine;Acute care;HIV,KEN,Africa,Eastern Africa,0,0,GBR,Europe,Western Europe,52.1748791,0.1407083,Cross-continental,3,3,Lower middle income,0.575,0.506,55339007,1942.58802756191,41.7,23.28,62.946,2.620213261,149,SWIID,2022,IPU,2023,ILOSTAT,2023,OWID,2022
529,"Effects of domestic violence on menopausal symptoms, sexual function, and quality of life: a cross-sectional study",10.61622/rbgo/2025rbgo16,2025,"Ferreira, Lais Lima and Ferreira, Charles Francisco and Wender, Maria Celeste Osorio",REVISTA BRASILEIRA DE GINECOLOGIA E OBSTETRICIA,Sexual function;Cross-sectional study;Quality of life (healthcare);Medicine;Quality (philosophy);Psychology,BRA,Americas,South America,0,0,BRA,Americas,South America,-30.0324999,-51.2303767,Domestic,32,5,Upper middle income,0.754,0.39,211998573,10310.54888,51.6,17.54385965,53.411,3.918764698,67,NA,NA,WDI,2024,WDI,2025,WDI,2023
530,Current status and factors associated with sexual harassment among operating room nurses: a multi-center cross-sectional study,10.1186/s12912-024-02606-4,2024,"Tang, Lingyu and Yu, Xingli and Liu, Yanshu and Zhou, Jie and Zhang, Daiying and Wang, Juan and Liu, Qingyan",BMC NURSING,Harassment;Medicine;Clinical psychology;Psychiatry;Sexual coercion;Anxiety,CHN,Asia,Eastern Asia,0,0,USA,Americas,North America,32.812043,-96.8417201,Cross-continental,19,6,Upper middle income,0.768,0.192,1422584930,13303.1481543868,40.8,26.54,59.448,NA,16,SWIID,2023,IPU,2024,ILOSTAT,2024,NA,NA
531,"Co-occurring psychosocial conditions are associated with increased HIV acquisition and transmission risk among young transgender women in Lima, Peru.",10.1038/s41598-025-99933-6,2025,Reisner SL and Silva-Santisteban A and Apedaile D and Huerta L and Rios I and Aguayo-Romero R and Perez-Brumer A,Scientific reports,Humans;*Transgender Persons/psychology;Peru/epidemiology;Female;Adolescent;*HIV Infections/transmission/epidemiology/psychology;Young Adult;Cross-Sectional Studies;Male;Sexual Behavior/psychology;Risk Factors;Adult,PER,Americas,South America,0,0,USA,Americas,North America,42.2808919,-83.7306737,Intra-continental,8,5,Upper middle income,0.762,0.36,33845616,8452.37167056621,41.7,41.54,65.044,3.9296079,51,SWIID,2024,IPU,2025,ILOSTAT,2025,OWID,2021
532,Determinants of domestic physical violence: an empirical analysis on Bangladesh MICS 2019 dataset,10.1007/s44155-025-00189-2,2025,Sayed Jubair Bin Hossain,Discover Social Science and Health,Domestic violence; Physical violence; Access to internet; Regional variation; Wealth quintile; Women’s education,BGD,Asia,Southern Asia,0,0,BGD,Asia,Southern Asia,23.7312443,90.3915283,Domestic,4,1,Lower middle income,0.661,0.53,173562364,2593.416117,30.9,20.85714286,38.649,NA,115,NA,NA,WDI,2023,WDI,2025,NA,NA
533,Cultural and Practical Barriers to Seeking Help for Intimate Partner Violence Among Korean Immigrants: Exploring Gender and Age Differences,10.3390/ijerph21111508,2024,"Soon Cho, Y. Joon Choi, Jeong-Yeob Han, Hanyoung Kim and Stephen T. Fife",International Journal of Environmental Research and Public Health,Confucian culture; domestic violence; family violence; focus group; immigrant women; intimate partner violence; Korean American; Korean culture; Korean immigrant,KOR,Asia,Eastern Asia,0,0,CHE,Europe,Western Europe,46.7985624,8.2319736,Cross-continental,7,5,High income,0.925,0.067,51748744,36238.639908315,31.4,19.19,56.826,0.4637793721,4,SWIID,2024,IPU,2024,ILOSTAT,2024,OWID,2023
534,Comparative situational analysis of comprehensive abortion care in four Southern African countries,10.1596/42641,2023,"Macleod, Catriona Ida and Reuvers, Megan and Reynolds, John Hunter and Lavelanet, Antonella and Delate, Richard",GLOBAL PUBLIC HEALTH,Abortion;Situational ethics;Situation analysis,BWA; LSO; NAM,Africa,Southern Africa,1,0,ZAF,Africa,Southern Africa,-33.314015,26.5160334,Multi-national,32,5,Upper middle income; Lower middle income; Upper middle income,0.693; 0.514; 0.615,0.468; 0.557; 0.44,2480244.0; NA; 2963095.0,7826.35376483298; NA; 4187.60500396525,54.9; 48.2; 59.1,11.1111111111111; 26.45; 44.2307692307692,63.426; 48.426; 54.828,8.31727406332939; NA; 6.1842124005966,155.0; NA; 139.0,NA; SWIID; NA,NA; 2017; NA,WDI; IPU; WDI,2023; 2023; 2023,WDI; ILOSTAT; WDI,2023; 2023; 2023,WDI; NA; WDI,2021; NA; 2021
535,COVID-19 and Gender-Based Violence: Investigating the “Shadow Pandemic” of Sexual Violence During Crisis Lockdown in Nigeria,10.1177/0306624x221102781,2025,Richard A. Aborisade1,Int J Offender Ther Comp Criminol 2025.69:659-681,Sexual violence;Pandemic;Government (linguistics);Shadow (psychology);Criminology;Psychology;Coronavirus disease 2019 (COVID-19);Domestic violence;Suicide prevention;Political science;Poison control,NGA,Africa,Western Africa,0,0,NGA,Africa,Western Africa,6.9225922,3.871801,Domestic,5,5,Lower middle income,0.535,0.68,227882949,1084.16041805436,38.4,3.89,80.7,6.454190656,993,SWIID,2022,IPU,2025,ILOSTAT,2025,OWID,2023
536,Co-occurrence of maternal intimate partner violence and violent discipline and its associations with child morbidity in the Philippines,10.1016/j.chiabu.2025.107363,2025,Abigail Puno-Balagosa,"Child Abuse & Neglect, 163 (2025) 107363","Intimate partner violence,Violent discipline,Family violence,Child morbidity,Acute respiratory infection,Fever,Diarrhea,Philippines",PHL,Asia,South-Eastern Asia,0,0,GBR,Europe,Western Europe,52.5310214,-1.2649062,Cross-continental,29,2,Lower middle income,0.699,0.419,114891199,3984.8315387656,37.3,28.01,50.489,1.173283952,84,SWIID,2023,IPU,2025,ILOSTAT,2025,OWID,2023
537,Correlates of verbal and physical violence experienced and perpetrated among cisgender college women: serial cross-sections during one year ofthe COVID-19 pandemic,10.3389/frph.2024.1366262,2024,Deborah A. Theodore,Frontiers in Reproductive Health,adolescent girls and young women; longitudinal analysis; college health; emotional violence; racial disparity,LBN,Asia,Western Asia,0,0,USA,Americas,North America,40.8077559,-73.9616141,Cross-continental,5,5,Lower middle income,0.706,0.432,5773494,3477.72489842684,36.1,6.25,22.234,1.004590981,15,SWIID,2022,IPU,2024,ILOSTAT,2023,OWID,2020
538,"Firearms, policy, and intimate partner homicide: A structural and disaggregated examination of Black, Latina, and White female victimization",10.1111/1745-9125.12372,2024,"Gray, Andrew C. and Kafonek, Katherine and Parker, Karen F.",Criminology 2024.62:276-299,Homicide;Legislation;Ethnic group;Intimate partner;Race (biology);Domestic violence;Intersectionality;Criminology;Psychology;White (mutation);Poison control;Injury prevention,USA,Americas,North America,0,0,USA,Americas,North America,40.2097296,-85.4112151,Domestic,20,7,High income,0.921,0.179,343477330,84534.0407841548,39.4,29.1,56.561,2.538158777,17,SWIID,2024,IPU,2024,ILOSTAT,2024,OWID,2023
539,Disclosure and non-disclosure of childhood sexual abuse in Australia: Results from a national survey,10.1016/j.chiabu.2024.107183,2025,Ben Mathews,"Child Abuse & Neglect, 160 (2025) 107183","Child sexual abuse,Disclosure and non-disclosure,Trends by gender,Trends by age group,National survey,Social change",AUS,Oceania,Australia and New Zealand,0,0,GBR,Europe,Western Europe,52.5310214,-1.2649062,Cross-continental,29,2,High income,0.951,0.073,27196812,64603.98563,33.8,38,62.513,0.5327343299,2,NA,NA,WDI,2024,WDI,2025,WDI,2023
540,Climate change and mental health of women in developing countries,10.1007/s10584-025-03960-1,2025,"Vig, Shinu",CLIMATIC CHANGE,Mental health;Climate change;Developing country;Environmental science;Natural resource economics,IND,NA,NA,0,0,IND,Asia,Southern Asia,18.5213738,73.8545071,Cross-continental,31,5,Lower middle income,0.633,0.49,1438069597,2694.73780859961,46.8,13.79,32.425,2.277898654,80,SWIID,2022,IPU,2025,ILOSTAT,2025,OWID,2022
541,College Student Alcohol Use and Confidence to Intervene in Interpersonal Violence: Differences by Gender and Sexual Orientation,10.1080/07448481.2022.2076099,2024,"Ruschelle M. Leone, Daniel Oesterle, Harshita Yepuri, Debra L. Kaysen, Lindsay Orchowski, Kelly Cue Davis, Amanda K. Gilmore",Journal of American college health : J of ACH,"Alcohol use, bystander effect, gender identity, sexual orientation, college students",USA,Americas,North America,0,0,USA,Americas,North America,39.7837304,-100.445882,Domestic,16,3,High income,0.921,0.179,343477330,84534.0407841548,39.4,29.1,56.561,2.538158777,17,SWIID,2024,IPU,2024,ILOSTAT,2024,OWID,2023
542,"Cocaine/crack and cannabis use among transgender women in Goiás, Central Brazil",10.1371/journal.pone.0304219,2024,"Larissa Silva Magalhães, Kamila Cardoso dos Santos, Bruno Vinícius Diniz e Silva, Gabriel Francisco da Silva Filho, Grazielle Rosa da Costa e Silva, Rafael Alves Guimarães, Sandra Cristina Pillon, Karlla Antonieta Amorim Caetano, Regina Maria Bringel Martins, Megmar Aparecida dos Santos Carneiro, Robert L. Cook, Sheila Araujo Teles",PLOS ONE,Cannabis;Medicine;Demography;Crack cocaine;Poison control;Odds ratio;Logistic regression;Cross-sectional study;Injury prevention;Condom;Interquartile range;Psychiatry,BRA,Americas,South America,0,0,BRA,Americas,South America,NA,NA,Domestic,13,3,Upper middle income,0.754,0.39,211998573,10310.54888,51.6,17.54385965,53.576,3.918764698,67,NA,NA,WDI,2024,WDI,2024,WDI,2023
543,Childhood intra- and extra-familial maltreatment and later-life trajectories of depressive symptoms: evidence from China.,10.1186/s12877-024-05169-w,2024,Ge T and Liu Y and Han Q and Cheng X and Jiang Q,BMC geriatrics,"Humans;Male;Female;China/epidemiology;Aged;Longitudinal Studies;*Depression/epidemiology/psychology/diagnosis;Middle Aged;Aged, 80 and over;Child Abuse/psychology;Bullying/psychology",CHN,Asia,Eastern Asia,0,0,CHN,Asia,Eastern Asia,34.2172159,108.937846,Domestic,29,2,Upper middle income,0.768,0.192,1422584930,13303.1481543868,40.8,26.54,59.448,NA,16,SWIID,2023,IPU,2024,ILOSTAT,2024,NA,NA
544,"Changes in context, typology and programme outcomes between early and recent periods of sex work among young female sex workers in Mombasa, Kenya: A cross-sectional study",10.1371/journal.pone.0288717,2023,"Parinita Bhattacharjee, Shajy Isac, Helgar Musyoki, Peter Gichangi, Huiting Ma, Marissa Becker, Jan Hontelez, Sharmistha Mishra, on behalf of the Transitions team",PloS one,Female;Humans;Young Adult;Adult;Sex Work;*Sex Workers;Cross-Sectional Studies;*HIV Infections/epidemiology/prevention & control;Kenya,KEN,Africa,Eastern Africa,0,0,USA,Americas,North America,39.7837304,-100.445882,Cross-continental,3,3,Lower middle income,0.575,0.506,55339007,1942.58802756191,41.7,23.28,62.946,2.620213261,149,SWIID,2022,IPU,2023,ILOSTAT,2023,OWID,2022
545,“Because I Am a Female”: Stigma and Safety Perspectives from Racially/Ethnically Diverse Women with Serious Mental Illnesses,10.1007/s10597-024-01346-8,2024,Aanchal Modani,Community Mental Health Journal,Community integration; Gender; Interpretive phenomenological analysis; Stigma; Interpersonal violence,USA,Americas,North America,0,0,USA,Americas,North America,40.7292053,-73.9950148,Domestic,31,5,High income,0.921,0.179,343477330,84534.0407841548,39.4,29.1,56.561,2.538158777,17,SWIID,2024,IPU,2024,ILOSTAT,2024,OWID,2023
546,Association of intimate partner violence with offspring growth in 32 low- and middle-income countries: a population-based cross-sectional study,10.1007/s00737-023-01387-0,2024,Liuliu Wu,Archives of Women's Mental Health,Maternal;Intimate partner violence;Stunting;Wasting;Under-five children;Low- and middle-income countries,CHN,NA,NA,0,0,CHN,Asia,Eastern Asia,36.3655393,120.6845859,Cross-continental,29,2,Upper middle income,0.768,0.192,1422584930,13303.1481543868,40.8,26.54,59.448,NA,16,SWIID,2023,IPU,2024,ILOSTAT,2024,NA,NA
547,Association of intimate partner violence with probable depression and symptoms of anxiety among women in Mozambique,10.1007/s00737-025-01578-x,2025,"Antabe, Roger and Sano, Yujiro and Antabe, Gregory and Saaka, Sulemana Ansumah",ARCHIVES OF WOMENS MENTAL HEALTH,Anxiety;Depression (economics);Domestic violence;Association (psychology);Clinical psychology;Psychology;Psychiatry;Medicine;Suicide prevention,MOZ,Africa,Southern Africa,0,0,CAN,Americas,North America,43.7838442,-79.1863453,Cross-continental,31,5,Low income,0.446,0.516,33635163,656.776824637306,48.9,39.2,77.09,NA,99,SWIID,2022,IPU,2025,ILOSTAT,2025,NA,NA
